PopularInvestor,Gain,RiskScore,MaxDailyRiskScore,MaxMonthlyRiskScore,Copiers,CopiersGain,AUMTier,AUMTierV2,Trades,WinRatio,DailyDD,WeeklyDD,ProfitableWeeksPct,ProfitableMonthsPct,Velocity,Exposure,AvgPosSize,HighLeveragePct,MediumLeveragePct,LowLeveragePct,PeakToValley,LongPosPct,ActiveWeeks,ActiveWeeksPct,WeeksSinceRegistration,Score
1,4.03,4,4,4,14,-6.67,1,1,130,52.31,-1.94,-3.69,50,46.15,0.0135,100,4.55,0,0,100,-11.97,100,56,100,75,1.1058224641255574
1,-6.78,5,5,5,26,0,1,1,344,48.55,-2.9,-4.98,54.72,53.85,0.0024,100,1.02,0,0,100,-13.58,100,54,100,154,2.737379285305784
1,14.36,3,6,3,263,-0.75,4,4,274,75.18,-5.23,-5.23,65.45,84.62,0,16.26,5.42,0.36496,20.80292,78.83212,-8.31,94,54,100,234,1.1266821658870017
0,21.27,5,5,5,2,0,1,1,624,78.85,-2.31,-4.38,51.79,61.54,0.0034,100,0.34,0,0,100,-12.88,100,56,100,246,2.4149679431400033
0,182.57,7,7,7,5,0,1,1,104,46.15384615384615,-43.5,-44.76,60.71,61.54,0.022,89.37,3.31,2.884615384615,7.692307692307,89.423076923076,-52.17,70.18,56,100,224,-0.6116748812337935
0,182.57,7,7,7,5,0,1,1,104,46.15384615384615,-43.5,-44.76,60.71,61.54,0.022,89.37,3.31,2.884615384615,7.692307692307,89.423076923076,-52.17,70.18,56,100,224,-0.6305537216957041
0,182.57,7,7,7,5,0,1,1,104,46.15384615384615,-43.5,-44.76,60.71,61.54,0.022,89.37,3.31,2.884615384615,7.692307692307,89.423076923076,-52.17,70.18,56,100,224,-0.6362296751864887
0,182.57,7,7,7,5,0,1,1,104,46.15384615384615,-43.5,-44.76,60.71,61.54,0.022,89.37,3.31,2.884615384615,7.692307692307,89.423076923076,-52.17,70.18,56,100,224,-0.6276911536569392
0,182.57,7,7,7,5,0,1,1,104,46.15384615384615,-43.5,-44.76,60.71,61.54,0.022,89.37,3.31,2.884615384615,7.692307692307,89.423076923076,-52.17,70.18,56,100,224,-0.6299162088861778
0,182.57,7,7,7,5,0,1,1,104,46.15384615384615,-43.5,-44.76,60.71,61.54,0.022,89.37,3.31,2.884615384615,7.692307692307,89.423076923076,-52.17,70.18,56,100,224,-0.5857000004850488
0,182.57,7,7,7,5,0,1,1,104,46.15384615384615,-43.5,-44.76,60.71,61.54,0.022,89.37,3.31,2.884615384615,7.692307692307,89.423076923076,-52.17,70.18,56,100,224,-0.5723494232033624
0,182.57,7,7,7,5,0,1,1,104,46.15384615384615,-43.5,-44.76,60.71,61.54,0.022,89.37,3.31,2.884615384615,7.692307692307,89.423076923076,-52.17,70.18,56,100,224,-0.5314216841814954
0,182.57,7,7,7,5,0,1,1,104,46.15384615384615,-43.5,-44.76,60.71,61.54,0.022,89.37,3.31,2.884615384615,7.692307692307,89.423076923076,-52.17,70.18,56,100,224,-0.5095314943979822
0,182.57,7,7,7,5,0,1,1,104,46.15384615384615,-43.5,-44.76,60.71,61.54,0.022,89.37,3.31,2.884615384615,7.692307692307,89.423076923076,-52.17,70.18,56,100,224,-0.5247988170413931
0,182.57,7,7,7,5,0,1,1,104,46.15384615384615,-43.5,-44.76,60.71,61.54,0.022,89.37,3.31,2.884615384615,7.692307692307,89.423076923076,-52.17,70.18,56,100,224,-0.5081873243847067
0,182.57,7,7,7,5,0,1,1,104,46.15384615384615,-43.5,-44.76,60.71,61.54,0.022,89.37,3.31,2.884615384615,7.692307692307,89.423076923076,-52.17,70.18,56,100,224,-0.5389503269720508
0,182.57,7,7,7,5,0,1,1,104,46.15384615384615,-43.5,-44.76,60.71,61.54,0.022,89.37,3.31,2.884615384615,7.692307692307,89.423076923076,-52.17,70.18,56,100,224,-0.5691572155137126
